gene,AML,Adrenocortical,Bladder,Breast,Cervical,Cholangiocarcinoma,Colorectal,DLBCL,Esophageal,Glioblastoma,Head&Neck,Kidney Chromophobe,Kidney Clear Cell,Kidney Papillary,Liver,Low Grade Glioma,Lung Adeno,Lung Squamous,Melanoma,Mesothelioma,Ovarian,Pancreatic,Pheochromocytoma,Prostate,Sarcoma,Stomach,Testicular,Thymoma,Thyroid,Uterine,Uterine Carcinosarcoma,Uveal Melanoma
OR2A4,-0.1543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR2V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0071,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR4S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM20,0.006,-0.0,-0.0,-0.0019,-0.0,-0.0,-0.0064,-0.0,-0.0011,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0014,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0015,-0.0,-0.0007,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
OR2B11,1.1613,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR51Q1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0403,0.0,0.0,0.0,0.0,0.0
CXCR2,0.1585,-0.0,-0.1434,-0.0021,0.0574,-0.0119,0.0595,-0.0403,0.073,0.2358,0.1736,-0.0033,0.0359,-0.0141,-0.0089,0.02,-0.1492,-0.202,-0.0507,-0.0018,0.0014,0.1141,-0.0029,-0.0147,-0.0004,0.104,0.0,-0.0049,-0.0038,-0.0197,-0.0064,-0.0
AMIGO3,4.0869,0.3613,-0.041,0.0,0.0635,-0.0,0.0,0.3606,1.102,0.2348,0.0,0.0,0.0,0.1723,-0.0317,0.0,0.0,0.0,-0.183,0.487,0.7975,0.0,0.0,0.0,0.0094,0.6141,-0.2022,0.6511,0.0758,0.5568,1.8308,0.0
OR7E24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6188,0.0,0.0,0.0,0.0,0.0
OR51V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR5B17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR1E2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR2H2,-0.0013,-0.0,-0.0046,-0.0,-0.0,0.0195,-0.0,-0.0,-0.0038,-0.0087,-0.0,-0.0,-0.0,-0.0,-0.0073,-0.0132,-0.0,-0.0,-0.0028,-0.0,-0.0056,0.0,0.0,-0.0,0.0062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.021,-0.0
OR10X1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR8I2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR51G2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIC5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
OR5AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR2T8,0.678,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0,0.0,0.0,0.0,-0.0113,0.0686,-0.0351,0.0,0.0,0.0
INSR,0.8721,0.1052,-0.1807,0.0509,-0.3442,0.0937,-0.0668,-0.2467,0.1276,0.0905,-0.2215,0.2133,0.4639,0.053,0.0492,0.129,0.0487,-0.016,-0.089,-0.2221,-0.3477,-0.0919,0.0356,-0.0511,0.1069,0.1812,-0.0487,-0.2586,0.0376,-0.4201,-0.4174,-0.2686
