gene,AML,Adrenocortical,Bladder,Breast,Cervical,Cholangiocarcinoma,Colorectal,DLBCL,Esophageal,Glioblastoma,Head&Neck,Kidney Chromophobe,Kidney Clear Cell,Kidney Papillary,Liver,Low Grade Glioma,Lung Adeno,Lung Squamous,Melanoma,Mesothelioma,Ovarian,Pancreatic,Pheochromocytoma,Prostate,Sarcoma,Stomach,Testicular,Thymoma,Thyroid,Uterine,Uterine Carcinosarcoma,Uveal Melanoma
HHLA2,0.2184,-0.0022,-0.0038,0.0003,-0.023,0.1767,0.4424,-0.0059,1.2572,-0.0,-0.0031,-0.0253,1.425,1.0492,0.0,-0.0002,0.1707,-0.0263,0.003,-0.0044,0.0093,1.1229,0.0,-0.0022,0.0083,0.9615,-0.1827,0.0,0.0,0.0479,0.0204,-0.0
CCR2,1.2399,-0.0261,-0.0713,0.2386,-0.0269,0.1079,-0.0987,-0.2533,-0.0301,0.1799,-0.0374,-0.0127,0.5999,0.1857,0.0135,0.0115,-0.0282,-0.1535,0.2178,0.1868,-0.0231,0.3351,-0.0096,-0.0244,0.2849,0.0089,0.4927,0.1084,0.0445,-0.045,-0.0336,-0.0432
SLC2A9,0.6695,-0.1543,-0.157,0.0714,0.1298,-0.2894,0.019,0.0042,-0.0351,0.4344,0.3636,-0.3723,0.1079,0.2828,-0.0151,0.2058,-0.1949,0.0457,-0.072,-0.0686,0.0856,0.3423,-0.1522,-0.2649,0.4702,0.2199,-0.0317,0.2848,-0.1123,-0.0854,-0.151,0.1062
TRIL,0.0056,-0.0697,-0.0669,0.2254,-0.1069,0.1001,0.0388,0.0069,0.0171,0.0789,-0.0747,-0.0911,0.2194,0.0391,0.0274,0.1972,0.0367,-0.0094,0.0024,0.1807,0.0587,0.4605,0.2619,-0.0342,0.8202,0.1443,0.5344,-0.0406,0.0899,-0.1599,0.3127,-0.0541
EDNRA,0.0042,-0.0805,-0.2805,0.0684,-0.5027,0.3738,0.1992,0.0722,0.1693,0.5949,0.0643,0.0303,0.5047,-0.0788,0.0192,0.4863,-0.1954,-0.2846,-0.1558,-0.114,-0.4677,0.884,0.076,-0.1932,0.6185,0.3445,-0.0914,0.1917,-0.1737,-0.4886,-0.1875,-0.1163
FZD1,0.131,-0.0612,-0.1638,0.1481,-0.1562,0.5926,-0.0495,0.0744,0.1393,0.3563,0.0835,-0.1424,0.5182,0.5795,0.013,0.1593,-0.0704,-0.0464,-0.1303,0.2885,-0.1206,0.382,-0.1075,-0.0095,0.7579,0.2312,0.0036,-0.0872,0.0941,-0.1075,0.1107,-0.1744
GJA3,0.015,0.0228,0.1187,0.0248,0.1564,0.0409,0.0262,-0.0,1.0393,0.2287,1.3029,-0.0,-0.0109,-0.0,0.0,0.0369,0.0083,0.8408,1.259,0.1105,0.1045,0.0407,0.0,0.1385,0.3783,0.2062,-0.1639,0.0,0.0585,-0.0101,0.0725,1.1669
ITFG1,0.1799,0.0411,-0.0316,0.0943,0.0139,0.2713,0.0808,0.0061,0.129,0.1106,0.0214,0.2161,0.1904,0.2419,0.1736,0.0951,0.0602,0.0225,0.1042,0.0828,-0.0356,0.3516,0.1817,0.1602,0.2275,0.1052,-0.131,-0.0542,0.105,-0.0258,-0.0778,-0.1049
KIAA1549L,-0.0222,0.2254,0.1582,0.4393,0.0505,0.579,0.0742,0.1031,0.6101,-0.3008,0.5216,0.0078,-0.0076,-0.0007,0.0,0.0203,0.0063,0.5074,0.7605,0.148,0.0655,0.6065,0.0202,-0.0012,0.1441,0.2224,-0.0675,-0.009,0.0022,0.0336,0.1094,0.2095
P2RY8,0.9596,0.1081,-0.0507,0.0084,0.0,0.2731,-0.0766,0.1212,0.0084,0.179,-0.0048,0.0131,0.4586,-0.0405,0.2246,0.073,0.0159,-0.0657,0.3913,0.0961,-0.0141,0.3409,-0.0192,-0.0169,0.2866,0.1755,0.6048,0.5862,-0.1824,-0.0234,-0.0228,-0.0362
GPNMB,-0.0178,-0.0505,0.0441,-0.0557,-0.3336,0.5627,-0.1795,0.9833,0.0864,0.5279,0.4367,0.771,0.4757,0.5864,0.3984,0.0674,0.0488,0.3895,0.2401,0.2224,-0.0458,0.7686,0.1229,0.0053,0.7691,0.4271,0.4,-0.1897,-0.1315,-0.3762,-0.3213,0.6378
SLC19A1,0.0514,-0.1988,0.1829,0.1753,-0.1359,0.0206,0.1798,-0.1504,0.3124,-0.0444,-0.0378,-0.2537,-0.0548,0.112,0.0165,-0.0506,-0.1562,-0.2123,0.3353,0.0176,-0.0312,0.2218,-0.209,0.2202,0.4236,0.2178,0.0873,0.1001,-0.4415,0.1725,0.1591,0.3273
LHFPL5,0.0143,0.0,0.0108,0.4065,0.0364,0.1052,0.0,0.0,0.1247,-0.0,0.0,0.0,0.0043,0.025,0.0,-0.0482,0.1305,0.0206,0.0,0.0285,0.0597,-0.0298,0.3342,0.0,0.0,0.0131,-0.0,0.0,0.0,0.126,0.0771,0.0
CELSR3,0.051,-0.0296,0.2389,0.0651,0.4241,0.0572,0.2571,0.0012,0.3696,-0.1692,0.0308,-0.0101,-0.0087,0.0813,0.0931,0.0408,0.1077,0.0024,-0.0324,-0.022,-0.0151,0.3222,0.7197,-0.0522,0.3009,0.2004,-0.325,-0.0329,-0.0507,-0.0341,0.0168,-0.0049
BTN3A1,0.2523,-0.2115,-0.0668,-0.0505,-0.1563,0.3065,-0.0869,-0.3087,0.1823,0.3112,-0.0706,-0.032,0.385,0.1656,0.0163,0.2296,-0.1225,-0.2172,0.112,0.1279,-0.0988,0.2284,-0.1498,-0.1958,0.4742,0.1756,0.0463,-0.0842,-0.1009,-0.232,-0.2827,-0.1744
OR2A7,0.149,-0.0429,-0.1253,-0.0635,-0.0955,0.1165,0.0498,-0.0,0.2337,-0.0025,0.0064,0.0154,0.0556,0.0144,-0.0308,-0.0,-0.1138,-0.0764,-0.2003,-0.0812,-0.0952,0.0251,0.0655,-0.1513,0.0577,0.1115,-0.0412,-0.1004,-0.2864,-0.0324,-0.0843,-0.0703
EFNB3,0.0183,-0.0019,0.1159,-0.0806,-0.1034,0.0227,-0.0146,0.0,0.0794,0.145,0.079,-0.0182,0.0315,0.0795,-0.0149,0.1987,0.0805,0.1375,-0.1292,0.6317,0.006,0.2809,0.9889,-0.0848,0.3228,-0.0069,0.0968,-0.0318,0.0075,-0.1259,0.1283,0.1414
CD163L1,-0.0386,0.057,0.156,0.0139,0.0231,0.1953,-0.0784,-0.1153,0.0729,0.1799,0.0622,-0.0043,0.3188,0.0132,0.3941,0.0155,-0.0486,-0.094,-0.0225,0.0564,-0.0249,0.6829,0.7114,0.07,0.5465,0.1841,-0.2239,0.3373,-0.0846,0.0388,0.1011,-0.0586
LRFN1,-0.0181,0.335,0.0007,0.1235,-0.0846,0.4302,-0.0325,-0.1409,0.1883,-0.0462,-0.009,-0.004,0.0442,0.0061,0.0078,-0.002,-0.078,0.0498,0.1726,0.3018,0.2422,-0.0277,0.3894,0.2742,0.373,0.0328,0.2182,0.1909,-0.0195,-0.0283,0.2621,0.3866
TPBG,0.2353,0.0957,-0.224,0.1515,0.0959,0.6532,-0.0001,0.0814,-0.1265,-0.0317,0.3557,-0.0281,0.0226,0.1383,-0.0495,-0.0877,0.1795,0.3093,-0.347,0.2891,0.0223,0.4542,0.0161,-0.2279,0.6121,0.1179,0.1782,-0.0317,-0.1794,-0.0374,-0.038,-0.3003
OXTR,0.0409,0.0002,0.0269,-0.3294,0.031,0.7984,0.0656,0.005,0.0435,0.3259,-0.0004,-0.0046,0.054,0.1815,0.0107,0.1041,0.0165,0.0028,0.0131,0.5579,0.3953,0.4025,0.1158,-0.0191,0.1916,0.1403,0.0479,0.0854,0.0,0.0547,0.1344,-0.0091
MFSD2A,0.5282,-0.0098,0.2735,0.0362,0.2831,-0.6852,-0.0105,0.3011,0.4413,0.34,0.4112,-0.0809,-0.1742,-0.0873,-0.5676,0.3108,-0.2764,-0.3973,-0.6425,0.2919,0.0629,0.9128,0.1851,-0.0939,0.54,0.3782,-0.5312,-0.1683,-0.0855,0.219,0.1886,-0.0845
FCGR2B,-0.3496,-0.1735,-0.1053,0.095,0.1361,-0.0308,-0.2403,-0.0744,-0.1565,0.7993,0.0547,-0.0766,0.4258,0.4019,-0.2036,0.0653,0.0858,-0.0017,0.2657,0.3261,0.3176,0.7512,-0.1751,0.0236,0.5264,0.1825,0.2716,-0.0484,0.0119,0.0884,0.1238,-0.1755
TLR5,0.0084,-0.0395,-0.152,0.1488,-0.0563,0.4184,-0.0585,-0.1361,-0.0282,0.3025,0.0557,-0.0702,0.1589,0.076,0.0468,0.2224,-0.0255,-0.0282,-0.0598,-0.006,-0.2401,0.3104,-0.0393,-0.0362,0.3491,0.0325,-0.0906,0.0422,0.0172,-0.0128,-0.0843,-0.0389
CD46,0.0761,-0.1411,-0.1094,0.0765,0.0349,0.2294,0.2226,-0.2255,0.1524,0.0419,-0.0692,0.1696,0.1845,0.1069,0.1194,-0.004,0.0626,-0.0856,-0.0557,-0.0332,-0.1418,0.1948,-0.1263,0.0332,0.137,0.1384,-0.1554,-0.1245,-0.004,-0.105,-0.3232,-0.4063
BTC,0.0,-0.0656,-0.1776,0.0266,-0.0297,0.5628,-0.1529,0.0,-0.3031,0.0102,-0.1063,0.2009,-0.0169,0.1312,0.0206,0.0928,0.1467,-0.043,-0.1299,-0.0838,0.1572,0.2466,0.0218,0.0894,0.098,0.0664,-0.0521,-0.1107,0.1597,0.1032,-0.0877,-0.0762
MME,-0.2318,-0.0993,0.0272,-0.3697,-0.1029,-0.2367,-0.0458,-0.0587,0.2109,-0.0018,0.0558,-0.3976,0.0333,-0.3618,-0.2533,0.0073,-0.4067,-0.3483,0.0066,0.0394,-0.0247,0.4407,-0.0332,-0.0038,-0.0214,0.2544,0.3968,0.1453,-0.0684,0.0025,0.1916,-0.191
TMEM217,0.5201,-0.1734,0.0977,0.0299,0.1545,0.2874,0.0071,0.1845,0.0427,0.3098,0.0732,-0.016,0.1489,0.2661,0.0369,0.0766,0.0477,-0.0223,-0.0167,0.3043,0.1159,0.1699,-0.1077,0.0102,0.2717,0.076,-0.2907,0.1904,0.2918,0.1612,0.1395,-0.0012
LRRN1,0.2453,0.0086,0.128,0.2473,-0.1348,0.1031,-0.014,-0.0153,0.0028,0.3891,-0.0583,-0.0044,-0.01,0.1274,-0.0269,0.559,0.0815,0.1125,-0.0508,0.2462,-0.0488,0.4849,0.0851,0.2542,-0.0674,-0.0178,-0.1916,0.08,0.2322,-0.0541,0.3797,-0.0557
MUC4,0.0378,-0.006,0.1771,-0.0187,0.8154,-0.0221,0.1846,-0.0,0.5669,-0.0062,0.1844,0.1354,-0.0214,-0.0339,-0.0102,-0.0012,0.3505,0.1377,-0.0114,-0.0124,-0.101,0.7811,-0.0039,-0.3338,-0.0167,0.3579,-0.1317,-0.0361,-0.0509,0.1679,0.1113,-0.0
BDKRB2,-0.0038,-0.0148,-0.3072,-0.0776,-0.2049,1.0819,-0.0784,0.3053,0.0569,0.2976,0.4481,0.2115,-0.0481,-0.1699,0.2411,-0.0028,0.2549,0.2066,-0.1651,0.0896,-0.0959,0.3857,0.4663,-0.2119,0.7374,0.1917,0.0396,-0.0902,-0.0435,-0.0595,-0.0683,-0.0579
GPR180,0.47,-0.0335,0.0281,0.0452,0.053,0.009,0.1659,0.1201,0.2459,0.0499,0.0671,0.0051,0.26,0.1637,-0.0722,0.0331,0.1022,0.1103,0.3146,0.0565,0.0006,0.1658,0.1918,0.0043,0.2388,0.2388,0.0718,-0.029,-0.0638,-0.0099,0.0487,-0.0824
RNF13,0.2638,0.0125,-0.082,0.0657,-0.0265,0.2412,0.0563,-0.0891,0.1335,0.2899,0.0742,0.2361,0.3221,0.2578,0.1133,0.2873,-0.0376,0.0217,0.0955,0.0966,-0.0636,0.2721,0.0299,0.1375,0.1608,0.1474,-0.047,-0.0204,0.0894,-0.1397,-0.1435,-0.1454
NCR3,-0.2056,0.0008,0.0281,0.027,0.2226,0.0226,-0.0041,-0.2983,0.0242,0.0021,0.0529,0.0053,0.3096,0.0838,0.0085,0.0012,-0.0534,-0.0867,0.1455,0.2147,0.0262,0.5857,0.0049,0.0016,0.192,0.1269,0.1091,0.8797,0.0078,0.0256,-0.0034,-0.0078
ACVR2B,-0.0063,-0.1138,-0.0267,0.0925,-0.0505,-0.0302,0.0481,0.0123,0.1084,-0.0121,-0.0458,0.0035,0.0632,0.1004,-0.0068,0.2598,0.0299,0.0028,0.2725,-0.0391,-0.0649,0.0127,-0.0133,0.0183,-0.0141,0.0492,0.1869,0.1152,-0.0239,-0.1064,0.0009,-0.0391
FPR1,-0.0563,-0.1659,-0.111,-0.0136,-0.0004,0.08,0.0229,-0.589,0.0276,0.8532,0.0687,-0.0795,0.2995,0.0843,-0.1268,0.4952,-0.4049,-0.4593,0.1446,0.3594,-0.0143,0.5593,-0.171,-0.0858,0.4036,0.1909,0.1054,-0.0907,-0.0306,-0.0505,-0.0569,-0.0535
CDH16,0.0,-0.0,-0.0154,-0.0011,0.1305,0.497,-0.0323,0.0,0.183,0.0,0.7725,0.0001,-0.583,-0.4937,0.199,0.0,-0.014,0.0,-0.0,-0.0,0.0224,0.1451,-0.0,-0.0063,-0.0274,0.4695,-0.0398,-0.0,-0.9288,0.7868,0.4736,-0.0
PLXNB2,0.378,-0.0974,0.0438,0.0685,0.0626,0.2691,0.0038,0.0083,0.1063,0.2313,0.0209,-0.159,0.0793,0.1569,0.0113,0.1865,-0.0407,-0.0367,-0.0257,0.0319,-0.0937,0.3062,-0.1159,-0.0287,0.6856,0.0356,-0.1353,-0.0944,0.0319,0.0248,-0.0569,-0.0639
SCN8A,0.1135,-0.0009,-0.0026,0.0199,0.0001,-0.0733,0.0421,-0.0002,0.2332,-0.2406,-0.0093,-0.0361,-0.0036,0.039,-0.0414,-0.1096,0.0616,0.1016,0.0264,0.0988,0.067,-0.0101,0.5556,-0.0202,0.279,0.0591,-0.0564,0.0111,-0.0101,-0.0174,0.0142,-0.0098
MANSC1,-0.0645,-0.0205,0.0124,0.134,-0.0199,0.5328,0.2568,-0.2512,0.187,0.169,-0.0632,0.162,0.2036,0.1947,0.1222,0.1115,0.0553,0.1201,-0.2147,-0.252,0.0928,0.2987,0.2191,0.2067,0.4563,0.3115,0.0156,-0.3942,-0.0144,-0.0159,-0.185,-0.2787
PLXDC2,0.7412,-0.0579,-0.2583,0.1595,-0.2861,0.4377,0.0131,-0.0929,0.0516,0.4446,0.091,0.0134,0.407,0.3761,0.08,0.3797,-0.1774,-0.1535,-0.3135,0.4007,0.1528,0.7272,-0.2831,0.0224,0.5213,0.4355,-0.0404,-0.1625,0.0201,-0.2286,-0.1231,-0.1636
ABCC1,0.4894,0.0131,-0.1452,0.0716,0.0423,0.6289,0.0774,0.0772,0.0833,0.2532,0.2155,0.0913,0.3157,0.2486,0.0503,0.1762,-0.0534,0.1977,-0.0141,0.125,0.0316,0.3329,-0.0563,-0.0195,0.0806,0.1456,-0.0888,0.0503,-0.254,0.0882,0.0019,-0.1683
TXNDC15,0.3204,0.0488,-0.0551,0.0728,-0.1378,0.2629,-0.0345,0.1317,-0.0469,0.2701,-0.0534,0.063,0.3182,0.1468,0.1631,0.2166,0.0185,-0.0568,0.1195,0.1223,-0.1492,0.2303,0.1765,0.1428,0.3616,0.0702,0.1306,-0.0154,0.0347,-0.1452,-0.1248,-0.1236
MILR1,0.4278,-0.1637,-0.068,0.049,-0.0433,0.3182,-0.0987,0.0724,-0.0092,0.5508,-0.073,-0.0315,0.3494,0.2126,0.1322,0.3526,-0.1029,-0.2618,0.2295,0.3165,0.0628,0.5541,-0.1828,-0.1103,0.6723,0.2596,0.1593,0.0551,0.1,-0.0124,-0.0055,-0.102
SLC46A1,0.3584,-0.1354,-0.0585,0.111,-0.0323,0.0184,-0.0402,-0.0146,-0.0298,0.1057,-0.2171,-0.1382,0.0969,0.1924,0.05,0.1551,0.0473,-0.1123,0.1734,0.2178,-0.0816,-0.0486,-0.0413,0.0561,0.5199,-0.0044,-0.0702,0.3295,-0.0799,-0.0878,-0.0882,-0.0718
SLC17A8,0.0,0.0,-0.037,0.0,-0.0,-0.0,-0.0134,-0.0,0.0,-0.0198,0.0,-0.0,0.0064,0.0305,-0.006,0.3224,0.003,0.0,0.0,0.0,-0.0048,0.0,0.037,0.0,0.103,0.0243,-0.0602,0.1354,0.0,0.0451,0.1869,0.0
SLC22A11,0.0305,-0.1097,0.0647,-0.0059,-0.0079,0.0272,0.5651,-0.0,0.1352,0.0006,-0.0101,-0.0,0.0202,-0.0886,0.4413,0.0,0.0031,0.0093,0.0398,-0.0047,-0.0013,0.0448,-0.0075,0.0,0.0376,0.1684,-0.0373,-0.0017,-0.0,-0.0028,-0.0149,-0.0
SLC24A2,-0.0,-0.0,0.0158,0.6347,-0.0,0.0,0.0,-0.0,0.0496,-0.5952,0.0369,0.803,-0.0229,-0.0118,0.0,-0.2695,0.0184,0.0309,0.0088,0.0,-0.0,0.0863,3.3628,0.0056,0.0,0.0042,-0.0,0.0,0.0,-0.0095,-0.0782,0.0
GRM5,0.0,0.0,0.0,0.0032,-0.0,0.3249,0.0,0.0,0.0,-0.1381,0.0,-0.0,0.0,0.1344,0.0,0.3247,0.0028,0.0029,0.0039,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0357,0.0,0.0,0.0,0.0,0.0
GPR107,0.1772,-0.0203,-0.0291,0.1701,0.0003,0.3064,0.092,-0.0638,0.1333,0.1583,0.0857,0.2165,0.2171,0.2111,0.0931,0.1657,0.0076,0.0108,0.0084,0.0779,-0.0439,0.3156,0.1447,0.0917,0.2762,0.1603,-0.0497,-0.088,-0.0147,-0.1345,-0.1153,0.0196
DGCR2,0.0681,-0.0277,-0.0374,0.0925,0.0395,0.4019,0.0635,-0.0589,0.0615,0.0894,0.0704,0.2332,0.1827,0.1839,0.1362,0.2759,0.0484,0.0529,-0.0734,-0.0325,-0.0747,0.2327,0.1263,0.091,0.2984,0.1445,-0.0095,-0.0223,0.03,-0.0098,-0.0167,-0.0274
SLC38A9,0.4651,0.1246,-0.037,0.0758,0.0206,0.1426,0.0602,0.1,0.112,0.1898,0.0627,0.0602,0.2002,0.1905,0.1795,0.1626,0.0872,0.0324,0.0172,0.007,-0.008,0.015,0.0489,-0.0588,0.2429,0.1299,-0.108,-0.0004,-0.0381,-0.1056,-0.0292,-0.1754
AQP9,-0.1315,-0.0524,0.051,-0.0081,0.044,-0.5281,0.2027,-0.5179,0.1817,0.2884,0.1018,-0.0264,0.1842,0.0457,0.0976,-0.0157,-0.3623,-0.3927,-0.2615,0.4166,0.2551,0.5171,-0.0167,-0.0155,0.0057,0.2729,0.0797,-0.0196,-0.0067,0.099,0.0208,-0.0
ABCA3,0.0138,0.0104,-0.1864,0.2412,0.0352,0.634,-0.2145,-0.0641,-0.1842,0.0714,-0.2212,0.1535,0.2785,0.393,0.0546,0.2322,-0.2974,-0.6194,0.0892,0.2323,0.0777,-0.038,0.2774,0.2003,0.0028,0.0351,-0.3313,0.2829,-0.1126,-0.1539,-0.0992,-0.132
CLSTN3,0.1653,0.0805,-0.0125,-0.0143,-0.1212,0.0272,-0.1038,-0.026,0.1413,-0.1843,-0.1342,-0.2691,0.2693,0.1815,-0.0754,-0.1775,-0.0105,-0.0585,-0.1303,0.203,-0.0466,0.3216,0.5424,-0.1519,0.5079,0.1429,0.3563,0.0731,-0.0581,-0.0244,0.1021,-0.3893
PCDH12,0.3212,-0.0832,-0.0201,-0.0097,-0.0906,0.3871,-0.0112,-0.0448,0.0161,0.4735,-0.0469,-0.0094,0.3803,-0.1229,0.2778,0.2392,-0.298,-0.3472,0.1283,0.0514,-0.0739,0.4622,0.1024,-0.0783,0.5405,0.1659,-0.0084,-0.0082,-0.0839,-0.1416,-0.0823,-0.0678
UNC5A,0.078,0.0896,-0.0088,0.1337,-0.0306,0.7388,-0.0014,0.0007,0.0461,-0.4726,-0.0022,0.047,0.1286,0.1601,0.008,-0.0898,-0.0103,-0.0133,-0.0043,0.1278,0.7484,0.0646,2.0804,0.1694,0.2985,-0.0225,-0.1,-0.0073,-0.0015,0.018,0.0617,-0.0052
P2RY2,0.9521,-0.1015,0.1503,0.2495,0.4822,0.0067,0.1596,-0.0118,0.5044,-0.0029,0.4805,-0.0348,-0.017,-0.0176,-0.0167,-0.0109,0.0292,0.0645,-0.0704,-0.0342,0.3741,0.5375,-0.0239,-0.0503,-0.0869,0.2021,-0.0244,-0.0932,-0.0668,0.3196,0.0552,-0.0072
TM4SF18,0.0266,-0.0197,-0.0457,-0.1334,-0.102,0.4732,-0.0278,0.0977,0.0863,0.3651,-0.0661,-0.1018,0.5717,0.2309,0.3014,0.1168,-0.0703,-0.151,0.1187,-0.0501,-0.0468,0.1666,0.1773,-0.0434,0.299,0.2287,0.0772,-0.0709,-0.1746,-0.2236,-0.1932,-0.0617
SLC1A1,0.0005,0.0156,-0.1862,0.0348,-0.0142,0.167,-0.1409,0.5843,0.1508,-0.1384,-0.1107,-0.1878,0.3135,0.3275,-0.144,0.1996,-0.1881,-0.3133,-0.0192,0.0668,0.002,0.6624,0.4949,0.0484,0.0998,0.2007,-0.0621,-0.0402,-0.2144,-0.0294,-0.0946,-0.1169
EMP2,-0.0486,0.1796,0.1314,0.2109,0.2081,-0.0763,0.072,0.2769,0.0471,0.1878,0.2081,-0.2288,0.3278,-0.0734,0.0337,-0.0488,-0.2643,-0.3011,-0.2059,-0.1366,0.0271,0.5114,-0.0026,0.0379,0.3722,0.1823,0.063,-0.4192,-0.0125,-0.0262,-0.1481,-0.2466
PTPRR,-0.0324,0.0,-0.1972,0.0122,0.0344,0.2201,0.1913,-0.008,0.255,-0.2271,0.0081,0.0386,0.31,0.0132,0.019,-0.2303,0.0151,0.0056,0.07,0.0062,0.0415,1.0415,0.5981,0.0283,0.2691,0.2912,0.1601,0.0691,0.074,-0.1347,-0.1708,0.0377
FCRL3,1.3819,-0.0,0.0229,0.0795,0.0305,-0.1039,-0.0282,0.63,0.1111,0.0,0.0378,-0.0024,0.2435,0.0012,-0.0267,0.0,-0.0717,-0.0857,0.5428,0.0358,0.0022,0.4146,0.0,-0.0098,0.1005,0.2762,-0.0056,0.2151,-0.0269,0.0011,-0.0278,-0.0606
DCBLD1,0.1165,-0.0705,0.025,-0.0344,-0.0759,0.0148,0.0923,0.0624,0.28,0.3386,0.2914,-0.104,0.128,-0.0581,-0.0528,0.1833,-0.0801,-0.1131,-0.115,0.2053,0.1382,0.3551,0.0561,-0.0216,0.1206,0.2077,-0.2135,-0.2121,-0.1812,0.0093,-0.1599,-0.1972
PVR,0.3015,0.0812,0.1495,-0.0268,0.1131,0.074,0.2479,-0.054,0.2422,0.0999,0.1334,0.1844,0.0468,0.0821,0.0144,0.0026,-0.0826,-0.1108,0.1582,0.062,-0.1216,0.3005,0.0575,0.0211,0.1532,0.2268,0.1537,-0.2889,-0.1599,-0.0175,-0.0719,-0.0601
ITGB5,-0.2081,-0.0982,0.0357,0.0834,-0.1356,0.3637,0.1314,-0.0485,0.059,0.3317,0.1759,-0.0117,0.1574,0.0704,0.126,0.2275,-0.027,0.0817,-0.0478,0.2336,0.1988,0.683,0.1037,0.0459,0.5149,0.2617,0.266,-0.1324,-0.0245,-0.0801,-0.0965,0.0598
PDCD1LG2,0.0446,-0.0146,-0.0017,-0.0924,-0.0761,0.0447,0.0053,0.5502,0.0654,0.7747,0.2395,-0.0125,0.3371,-0.0129,0.006,0.1783,-0.1093,-0.0924,-0.0572,0.2725,-0.0238,0.4251,-0.0016,-0.0175,0.4977,0.281,0.349,0.0891,-0.0276,-0.0624,-0.053,-0.0367
CD40LG,0.6133,-0.0,-0.0259,0.0648,0.005,0.0877,-0.0187,-0.1265,0.0399,0.0085,-0.0025,-0.0,0.3808,0.0674,0.03,0.0083,-0.0512,-0.0623,0.0401,0.0417,-0.0045,0.2884,0.0,0.0226,0.1158,0.2119,0.156,0.4563,-0.0218,0.0023,-0.0085,-0.0085
LYPD8,0.0162,0.0,0.1726,0.0274,0.0,0.0487,0.0861,0.0039,0.775,-0.0438,0.2622,-0.0908,-0.0657,-0.106,0.4003,-0.0885,0.2051,0.4705,1.2935,2.219,0.1055,0.0594,0.0176,-0.0118,0.2556,0.6558,-0.0309,0.0132,0.0,0.0,0.1907,1.0314
LTBR,0.1907,-0.0067,0.0248,-0.0408,-0.0195,0.1314,0.076,-0.2336,0.0913,0.2522,0.1229,0.121,0.1195,0.189,-0.015,0.0633,-0.0261,0.0535,-0.0214,0.0526,0.0561,0.2329,-0.1544,-0.0158,0.4204,0.1153,-0.0478,-0.2284,-0.1162,-0.046,-0.1676,-0.0101
TSPAN31,0.2005,-0.0173,-0.0591,0.0547,-0.1918,0.3307,0.0651,0.0657,0.0177,0.3042,-0.0441,0.2175,0.1925,0.202,0.1727,0.2182,0.0296,-0.0317,0.0651,0.0871,-0.0121,0.2661,0.0378,0.0631,0.1734,0.0836,-0.003,-0.0481,0.0198,-0.223,-0.2007,0.0105
LILRB1,0.7731,-0.1472,-0.1547,0.0901,0.0285,-0.0627,-0.1726,-0.237,0.0764,0.4042,0.0026,-0.0536,0.3807,0.1398,-0.1132,0.2257,-0.3359,-0.3857,0.4807,0.2587,0.1339,0.3507,-0.1534,-0.1163,0.4557,0.2174,0.2824,-0.0144,-0.0689,-0.0066,-0.0444,-0.0816
SYPL1,0.2551,0.0264,-0.0639,0.057,0.0001,0.3231,0.116,0.1903,0.0992,0.423,0.1318,0.2451,0.2357,0.2109,0.1807,0.2936,0.0332,0.1308,-0.0015,-0.0517,-0.0248,0.3382,-0.1553,0.0819,0.0694,0.1578,-0.1939,-0.0286,0.0021,-0.1534,-0.2508,-0.2049
IL9R,0.0177,0.0,0.0081,0.1269,0.0913,0.0922,-0.0154,0.0111,0.0536,0.0012,0.0976,0.0,0.0602,0.025,-0.0004,0.0,-0.0185,-0.0301,0.0066,0.0257,-0.002,0.2013,0.0019,-0.0043,0.0034,0.0788,0.032,0.7143,-0.0053,0.0016,-0.0,-0.0
MFSD6,0.5457,-0.1417,-0.0549,0.1151,0.1298,0.6864,0.1245,0.1153,0.0937,-0.1845,0.0865,0.1803,0.1655,0.1323,0.1747,0.0373,0.0435,-0.0078,-0.1301,-0.1181,0.1587,0.4208,0.1405,0.0361,0.314,0.2416,-0.3161,-0.0396,0.1348,0.0288,-0.2391,-0.3431
S1PR5,0.0311,0.0172,0.1179,0.0595,1.0491,0.0462,0.0049,-0.1383,0.4266,-0.1949,0.9334,0.0001,0.4438,-0.0018,-0.006,-0.1037,-0.0594,0.4006,-0.2208,0.5058,0.0006,0.1211,0.169,-0.1009,0.3205,0.0443,0.0552,0.0969,-0.0023,0.0028,0.1764,-0.0
SLAMF1,0.1714,-0.0,-0.0619,0.052,0.0482,0.044,-0.0338,0.2565,0.0644,0.01,0.0866,-0.0068,0.128,0.006,0.0107,0.0017,-0.0038,-0.0565,0.1364,0.0491,-0.0003,0.2527,-0.0,0.0013,0.1092,0.1291,0.4063,1.0316,-0.0082,0.0181,-0.0105,-0.0309
OR51B5,-0.0078,-0.0,0.0974,-0.0083,-0.0209,0.0,0.0,-0.057,0.0987,0.0,-0.1932,-0.0381,0.0,-0.003,0.0,0.0,-0.0265,-0.0506,0.0,-0.0,-0.0132,0.0,-0.0,-0.002,0.0,0.0374,0.0164,-0.0,-0.0,-0.0068,-0.0211,-0.0
TMEM213,0.0,0.0,0.0267,0.0223,-0.1612,0.0,0.0019,0.0,0.0373,-0.0052,0.0,1.2291,-0.4884,-0.878,0.0,0.0009,0.1799,-0.0368,-0.0543,-0.0178,0.0174,0.0471,0.0,-0.0109,0.0,0.0059,0.001,0.0035,0.0,0.1277,0.0,-0.0
