gene,ensg,tumor_median_log2,normal_median_log2,fc_log2,gtex_positive_count,tumor_positive_rate,tsi,tsi_norm,rank
SLC24A2,ENSG00000155886,-4.293,-5.574,1.28,1786,0.132,0.004,0.2941176468116659,690
GRM5,ENSG00000168959,-6.506,-9.966,3.46,1380,0.038,0.004,0.2941176468116659,691
GPR107,ENSG00000148358,4.372,4.01,0.36,7835,1.0,0.004,0.2941176468116659,692
DGCR2,ENSG00000070413,5.335,4.973,0.36,7835,1.0,0.004,0.2941176468116659,693
SLC38A9,ENSG00000177058,2.846,2.519,0.33,7824,0.997,0.004,0.2941176468116659,694
AQP9,ENSG00000103569,-0.267,-1.026,0.76,6626,0.46,0.004,0.2941176468116659,695
ABCA3,ENSG00000167972,3.175,2.734,0.44,7740,0.863,0.004,0.2941176468116659,696
CLSTN3,ENSG00000139182,4.57,4.225,0.34,7835,0.999,0.004,0.2941176468116659,697
PCDH12,ENSG00000113555,1.078,0.586,0.49,7595,0.781,0.004,0.2941176468116659,698
UNC5A,ENSG00000113763,-1.938,-2.826,0.89,4160,0.285,0.004,0.2941176468116659,699
P2RY2,ENSG00000175591,0.994,0.497,0.5,7110,0.616,0.004,0.2941176468116659,700
TM4SF18,ENSG00000163762,1.501,1.112,0.39,7170,0.828,0.004,0.2941176468116659,701
SLC1A1,ENSG00000106688,1.768,1.305,0.46,7392,0.76,0.004,0.2941176468116659,702
EMP2,ENSG00000213853,5.136,4.821,0.32,7628,0.997,0.004,0.2941176468116659,703
PTPRR,ENSG00000153233,-0.997,-1.831,0.83,5473,0.331,0.004,0.2941176468116659,704
FCRL3,ENSG00000160856,-2.388,-3.816,1.43,2925,0.168,0.004,0.2941176468116659,705
DCBLD1,ENSG00000164465,2.563,2.199,0.36,7740,0.974,0.004,0.2941176468116659,706
PVR,ENSG00000073008,3.911,3.572,0.34,7815,0.999,0.004,0.2941176468116659,707
ITGB5,ENSG00000082781,6.201,5.807,0.39,7835,1.0,0.004,0.2941176468116659,708
PDCD1LG2,ENSG00000197646,0.139,-0.413,0.55,6507,0.533,0.004,0.2941176468116659,709
CD40LG,ENSG00000102245,-1.685,-2.826,1.14,3856,0.199,0.004,0.2941176468116659,710
LYPD8,ENSG00000259823,-4.035,-5.012,0.98,1779,0.159,0.004,0.2941176468116659,711
LTBR,ENSG00000111321,6.452,6.139,0.31,7833,1.0,0.004,0.2941176468116659,712
TSPAN31,ENSG00000135452,5.304,4.952,0.35,7834,1.0,0.004,0.2941176468116659,713
LILRB1,ENSG00000104972,1.138,0.633,0.51,7319,0.747,0.004,0.2941176468116659,714
SYPL1,ENSG00000008282,6.258,5.935,0.32,7835,1.0,0.004,0.2941176468116659,715
IL9R,ENSG00000124334,-1.639,-2.932,1.29,4005,0.172,0.004,0.2941176468116659,716
MFSD6,ENSG00000151690,4.226,3.867,0.36,7829,0.989,0.004,0.2941176468116659,717
S1PR5,ENSG00000180739,-0.25,-0.913,0.66,6208,0.459,0.004,0.2941176468116659,718
SLAMF1,ENSG00000117090,-1.117,-2.053,0.94,5023,0.286,0.004,0.2941176468116659,719
OR51B5,ENSG00000167355,-6.506,-9.966,3.46,1078,0.026,0.003,0.2857142854741897,720
TMEM213,ENSG00000214128,-5.012,-6.506,1.49,1321,0.079,0.003,0.2857142854741897,721
TNFRSF11A,ENSG00000141655,0.058,-0.394,0.45,6751,0.517,0.003,0.2857142854741897,722
SLC2A6,ENSG00000160326,1.59,1.27,0.32,7821,0.859,0.003,0.2857142854741897,723
SDK2,ENSG00000069188,-0.687,-1.318,0.63,5886,0.403,0.003,0.2857142854741897,724
MUC3A,ENSG00000169894,-0.642,-1.181,0.54,5434,0.451,0.003,0.2857142854741897,725
ZPLD1,ENSG00000170044,-5.012,-6.506,1.49,602,0.044,0.003,0.2857142854741897,726
PCDHAC1,ENSG00000248383,-2.826,-4.035,1.21,2755,0.115,0.003,0.2857142854741897,727
PSEN2,ENSG00000143801,3.803,3.558,0.24,7823,0.999,0.003,0.2857142854741897,728
GPRC5D,ENSG00000111291,-0.834,-1.595,0.76,5768,0.33,0.003,0.2857142854741897,729
SLC6A9,ENSG00000196517,2.511,2.186,0.33,7755,0.918,0.003,0.2857142854741897,730
PCDHB8,ENSG00000120322,-1.283,-1.884,0.6,5487,0.315,0.003,0.2857142854741897,731
MC4R,ENSG00000166603,-6.506,-9.966,3.46,1382,0.027,0.003,0.2857142854741897,732
SLC26A2,ENSG00000155850,1.828,1.59,0.24,7691,0.934,0.003,0.2857142854741897,733
ADORA1,ENSG00000163485,0.697,0.346,0.35,7044,0.605,0.003,0.2857142854741897,734
CNNM3,ENSG00000168763,3.691,3.456,0.24,7834,0.999,0.003,0.2857142854741897,735
CYSLTR1,ENSG00000173198,-0.134,-0.597,0.46,6464,0.464,0.003,0.2857142854741897,736
SLC5A3,ENSG00000198743,1.804,1.486,0.32,7741,0.924,0.003,0.2857142854741897,737
SPPL2A,ENSG00000138600,4.932,4.648,0.28,7835,1.0,0.003,0.2857142854741897,738
SEMA5B,ENSG00000082684,0.276,-0.216,0.49,6736,0.562,0.003,0.2857142854741897,739
CD19,ENSG00000177455,-1.392,-2.114,0.72,5089,0.284,0.003,0.2857142854741897,740
SLC5A12,ENSG00000148942,-3.816,-4.608,0.79,1512,0.154,0.003,0.2857142854741897,741
LRP12,ENSG00000147650,2.151,1.9,0.25,7616,0.915,0.003,0.2857142854741897,742
ICAM4,ENSG00000105371,-1.884,-2.635,0.75,4246,0.253,0.003,0.2857142854741897,743
TMEM62,ENSG00000137842,3.767,3.504,0.26,7834,0.999,0.003,0.2857142854741897,744
MFSD11,ENSG00000092931,4.037,3.758,0.28,7835,1.0,0.003,0.2857142854741897,745
FFAR4,ENSG00000186188,-2.053,-3.308,1.25,3547,0.131,0.003,0.2857142854741897,746
TLR10,ENSG00000174123,-1.781,-2.932,1.15,3863,0.182,0.003,0.2857142854741897,747
MYOF,ENSG00000138119,4.956,4.712,0.24,7742,0.979,0.003,0.2857142854741897,748
ROR2,ENSG00000169071,1.496,1.183,0.31,6713,0.7,0.003,0.2857142854741897,749
GPR18,ENSG00000125245,-1.685,-2.727,1.04,4171,0.177,0.003,0.2857142854741897,750
KCNS1,ENSG00000124134,-3.171,-4.035,0.86,2782,0.173,0.003,0.2857142854741897,751
GPR183,ENSG00000169508,2.406,2.141,0.27,7475,0.907,0.003,0.2857142854741897,752
P2RX3,ENSG00000109991,-5.574,-9.966,4.39,1031,0.024,0.003,0.2857142854741897,753
GGT3P,ENSG00000197421,-4.035,-5.012,0.98,2528,0.145,0.003,0.2857142854741897,754
ATP1A3,ENSG00000105409,-1.355,-2.053,0.7,5583,0.299,0.003,0.2857142854741897,755
DLK2,ENSG00000171462,-0.385,-0.913,0.53,6948,0.439,0.003,0.2857142854741897,756
NRROS,ENSG00000174004,1.345,0.979,0.37,7791,0.83,0.003,0.2857142854741897,757
GJB7,ENSG00000164411,-5.012,-5.574,0.56,1222,0.16,0.003,0.2857142854741897,758
TNFRSF13B,ENSG00000240505,-2.727,-3.816,1.09,2896,0.155,0.003,0.2857142854741897,759
FLVCR2,ENSG00000119686,1.59,1.276,0.31,7719,0.872,0.003,0.2857142854741897,760
CX3CL1,ENSG00000006210,4.161,3.931,0.23,7397,0.987,0.003,0.2857142854741897,761
PODXL,ENSG00000128567,4.051,3.748,0.3,7670,0.993,0.003,0.2857142854741897,762
IGF1R,ENSG00000140443,3.186,2.939,0.25,7832,0.945,0.003,0.2857142854741897,763
PHEX,ENSG00000102174,-1.938,-2.932,0.99,3894,0.182,0.003,0.2857142854741897,764
PCDHA12,ENSG00000251664,-3.047,-4.035,0.99,2793,0.176,0.003,0.2857142854741897,765
ADORA3,ENSG00000282608,1.071,0.679,0.39,7278,0.715,0.003,0.2857142854741897,766
TLR2,ENSG00000137462,1.89,1.571,0.32,7744,0.868,0.003,0.2857142854741897,767
SPACA4,ENSG00000177202,-3.308,-4.608,1.3,2350,0.125,0.003,0.2857142854741897,768
GRM4,ENSG00000124493,-3.171,-4.035,0.86,2599,0.173,0.003,0.2857142854741897,769
MFAP3,ENSG00000037749,2.976,2.672,0.31,7816,0.943,0.003,0.2857142854741897,770
GPR27,ENSG00000170837,1.276,0.833,0.44,7131,0.637,0.003,0.2857142854741897,771
ELFN2,ENSG00000243902,-6.506,-9.966,3.46,1221,0.03,0.003,0.2857142854741897,772
CLEC7A,ENSG00000172243,2.11,1.8,0.31,7478,0.867,0.003,0.2857142854741897,773
S1PR2,ENSG00000267534,1.82,1.522,0.3,7691,0.945,0.003,0.2857142854741897,774
CD109,ENSG00000156535,1.556,1.239,0.32,7334,0.758,0.003,0.2857142854741897,775
PCDHAC2,ENSG00000243232,-1.732,-2.388,0.66,4497,0.257,0.003,0.2857142854741897,776
FURIN,ENSG00000140564,5.327,5.088,0.24,7835,1.0,0.003,0.2857142854741897,777
GPR161,ENSG00000143147,1.532,1.208,0.32,7390,0.821,0.003,0.2857142854741897,778
LILRA5,ENSG00000187116,-0.042,-0.472,0.43,6613,0.494,0.003,0.2857142854741897,779
LDLR,ENSG00000130164,4.199,3.884,0.31,7832,0.962,0.003,0.2857142854741897,780
C5AR1,ENSG00000197405,2.311,2.022,0.29,7813,0.931,0.003,0.2857142854741897,781
NT5E,ENSG00000135318,3.178,2.886,0.29,7691,0.94,0.003,0.2857142854741897,782
SLC22A23,ENSG00000137266,3.009,2.799,0.21,7834,0.953,0.002,0.27731092413671354,783
GPR68,ENSG00000119714,1.022,0.706,0.32,7597,0.685,0.002,0.27731092413671354,784
CD58,ENSG00000116815,3.81,3.669,0.14,7835,0.997,0.002,0.27731092413671354,785
KIRREL2,ENSG00000126259,-4.293,-5.012,0.72,1889,0.137,0.002,0.27731092413671354,786
ASTN2,ENSG00000148219,1.705,1.476,0.23,7670,0.884,0.002,0.27731092413671354,787
SLC5A5,ENSG00000105641,-4.608,-5.574,0.97,1514,0.088,0.002,0.27731092413671354,788
HTR2B,ENSG00000135914,-1.283,-1.781,0.5,5236,0.267,0.002,0.27731092413671354,789
ANTXR1,ENSG00000169604,4.569,4.399,0.17,7480,0.983,0.002,0.27731092413671354,790
OPRL1,ENSG00000125510,-0.166,-0.554,0.39,7250,0.456,0.002,0.27731092413671354,791
FCRL4,ENSG00000163518,-6.506,-9.966,3.46,378,0.009,0.002,0.27731092413671354,792
SLC16A4,ENSG00000168679,1.524,1.258,0.27,7710,0.751,0.002,0.27731092413671354,793
NPY4R,ENSG00000204174,-3.816,-4.608,0.79,2443,0.12,0.002,0.27731092413671354,794
CNTN5,ENSG00000149972,-4.293,-5.574,1.28,2306,0.066,0.002,0.27731092413671354,795
GPR108,ENSG00000125734,5.845,5.656,0.19,7835,1.0,0.002,0.27731092413671354,796
TMIGD2,ENSG00000167664,-1.595,-2.466,0.87,4423,0.186,0.002,0.27731092413671354,797
GPR82,ENSG00000171657,-2.245,-3.626,1.38,2643,0.076,0.002,0.27731092413671354,798
GPR3,ENSG00000181773,-0.533,-1.056,0.52,6651,0.372,0.002,0.27731092413671354,799
SLC10A3,ENSG00000126903,4.482,4.306,0.18,7834,1.0,0.002,0.27731092413671354,800
RNF149,ENSG00000163162,4.997,4.854,0.14,7835,1.0,0.002,0.27731092413671354,801
VNN2,ENSG00000112303,0.19,-0.166,0.36,7476,0.543,0.002,0.27731092413671354,802
SPNS3,ENSG00000182557,-1.026,-1.639,0.61,5921,0.299,0.002,0.27731092413671354,803
QRFPR,ENSG00000186867,-4.035,-4.608,0.57,2186,0.155,0.002,0.27731092413671354,804
PIEZO2,ENSG00000154864,0.276,-0.013,0.29,6877,0.557,0.002,0.27731092413671354,805
CALCR,ENSG00000004948,-4.293,-5.574,1.28,1052,0.043,0.002,0.27731092413671354,806
PCDHB10,ENSG00000120324,0.434,0.152,0.28,6996,0.601,0.002,0.27731092413671354,807
NPHS1,ENSG00000161270,-5.012,-6.506,1.49,1802,0.045,0.002,0.27731092413671354,808
TMEM25,ENSG00000149582,3.747,3.549,0.2,7820,0.963,0.002,0.27731092413671354,809
BMPR1A,ENSG00000107779,2.406,2.214,0.19,7589,0.967,0.002,0.27731092413671354,810
IL13RA2,ENSG00000123496,-1.214,-1.781,0.57,5306,0.305,0.002,0.27731092413671354,811
TRABD2A,ENSG00000186854,0.24,-0.134,0.37,7491,0.553,0.002,0.27731092413671354,812
CLEC12A,ENSG00000172322,-0.357,-0.687,0.33,6301,0.431,0.002,0.27731092413671354,813
GABBR2,ENSG00000136928,-4.035,-4.608,0.57,2704,0.205,0.002,0.27731092413671354,814
CRB2,ENSG00000148204,-3.816,-4.293,0.48,2589,0.16,0.002,0.27731092413671354,815
TSPAN9,ENSG00000011105,4.258,4.124,0.13,7803,0.999,0.002,0.27731092413671354,816
RNFT1,ENSG00000189050,3.157,3.007,0.15,7831,0.989,0.002,0.27731092413671354,817
DCBLD2,ENSG00000057019,3.101,2.93,0.17,7622,0.982,0.002,0.27731092413671354,818
QSOX2,ENSG00000165661,2.687,2.501,0.19,7830,0.997,0.002,0.27731092413671354,819
TPBGL,ENSG00000261594,-1.831,-2.727,0.9,4273,0.148,0.002,0.27731092413671354,820
GP1BB,ENSG00000203618,-0.759,-1.149,0.39,4567,0.395,0.002,0.27731092413671354,821
KIR3DL2,ENSG00000240403,-4.608,-9.966,5.36,1095,0.014,0.002,0.27731092413671354,822
ASIC1,ENSG00000110881,0.605,0.276,0.33,7168,0.61,0.002,0.27731092413671354,823
SLC26A9,ENSG00000174502,-2.388,-2.932,0.54,3934,0.26,0.002,0.27731092413671354,824
MRC2,ENSG00000011028,4.387,4.164,0.22,7833,0.982,0.002,0.27731092413671354,825
ABCC11,ENSG00000121270,-2.466,-3.308,0.84,3296,0.17,0.002,0.27731092413671354,826
GPR137,ENSG00000173264,5.012,4.815,0.2,7835,1.0,0.002,0.27731092413671354,827
ADAM15,ENSG00000143537,6.299,6.103,0.2,7835,1.0,0.002,0.27731092413671354,828
GRPR,ENSG00000126010,-3.626,-4.293,0.67,2084,0.118,0.002,0.27731092413671354,829
GPR85,ENSG00000164604,-0.642,-1.181,0.54,6185,0.347,0.002,0.27731092413671354,830
GPR174,ENSG00000147138,-2.466,-3.308,0.84,3422,0.153,0.002,0.27731092413671354,831
ROBO2,ENSG00000185008,-0.653,-0.997,0.34,5892,0.407,0.002,0.27731092413671354,832
SLC23A1,ENSG00000170482,-1.732,-2.114,0.38,5422,0.301,0.002,0.27731092413671354,833
SLC12A2,ENSG00000064651,2.839,2.618,0.22,7732,0.961,0.002,0.27731092413671354,834
STS,ENSG00000101846,1.812,1.623,0.19,7777,0.927,0.002,0.27731092413671354,835
IFNGR1,ENSG00000027697,5.684,5.542,0.14,7835,1.0,0.002,0.27731092413671354,836
SDK1,ENSG00000146555,1.379,1.112,0.27,7410,0.768,0.002,0.27731092413671354,837
PCDHB2,ENSG00000112852,0.507,0.152,0.36,7168,0.575,0.002,0.27731092413671354,838
TMPRSS6,ENSG00000187045,-2.635,-3.171,0.54,3558,0.236,0.002,0.27731092413671354,839
ANO6,ENSG00000177119,4.004,3.803,0.2,7832,0.997,0.002,0.27731092413671354,840
EFNB1,ENSG00000090776,3.94,3.726,0.21,7798,0.999,0.002,0.27731092413671354,841
MLNR,ENSG00000102539,-5.574,-9.966,4.39,610,0.012,0.002,0.27731092413671354,842
TNFRSF1B,ENSG00000028137,3.657,3.478,0.18,7835,0.995,0.002,0.27731092413671354,843
CLDN9,ENSG00000213937,-1.214,-1.732,0.52,5696,0.327,0.002,0.27731092413671354,844
PLXND1,ENSG00000004399,5.697,5.559,0.14,7835,1.0,0.002,0.27731092413671354,845
CD244,ENSG00000122223,-1.51,-2.245,0.73,4877,0.192,0.002,0.27731092413671354,846
ENPEP,ENSG00000138792,0.964,0.732,0.23,7201,0.724,0.002,0.27731092413671354,847
RNF167,ENSG00000108523,6.673,6.51,0.16,7835,1.0,0.002,0.27731092413671354,848
GPR137C,ENSG00000180998,-0.808,-1.318,0.51,6828,0.324,0.002,0.27731092413671354,849
PCDHA1,ENSG00000204970,-3.816,-4.608,0.79,2001,0.114,0.002,0.27731092413671354,850
SEMA5A,ENSG00000112902,1.183,0.927,0.26,7300,0.717,0.002,0.27731092413671354,851
KIR2DL4,ENSG00000189013,-2.826,-4.035,1.21,2452,0.095,0.002,0.27731092413671354,852
FCRL2,ENSG00000132704,-3.626,-4.608,0.98,2197,0.109,0.002,0.27731092413671354,853
SLCO5A1,ENSG00000137571,-2.548,-3.308,0.76,3576,0.156,0.002,0.27731092413671354,854
PLVAP,ENSG00000130300,5.364,5.198,0.17,7739,0.996,0.002,0.27731092413671354,855
OR7C1,ENSG00000127530,-5.574,-9.966,4.39,1491,0.02,0.002,0.27731092413671354,856
TMEM67,ENSG00000164953,2.202,2.029,0.17,7669,0.959,0.002,0.27731092413671354,857
TMEFF1,ENSG00000241697,-3.626,-4.293,0.67,2697,0.142,0.002,0.27731092413671354,858
LRRC19,ENSG00000184434,-4.608,-5.012,0.4,1289,0.141,0.002,0.27731092413671354,859
DRD5,ENSG00000169676,-6.506,-9.966,3.46,1178,0.016,0.002,0.27731092413671354,860
FZD10,ENSG00000111432,-1.181,-1.595,0.41,5644,0.339,0.002,0.27731092413671354,861
LMBRD2,ENSG00000164187,1.852,1.633,0.22,7742,0.942,0.002,0.27731092413671354,862
CCR7,ENSG00000126353,0.215,-0.15,0.37,6967,0.541,0.002,0.27731092413671354,863
HEPHL1,ENSG00000181333,-5.012,-5.574,0.56,1122,0.102,0.002,0.27731092413671354,864
BTLA,ENSG00000186265,-1.639,-2.466,0.83,4435,0.196,0.002,0.27731092413671354,865
LYSMD3,ENSG00000176018,2.614,2.425,0.19,7814,0.988,0.002,0.27731092413671354,866
KLRC2,ENSG00000205809,-2.114,-2.727,0.61,4287,0.182,0.002,0.27731092413671354,867
TIMD4,ENSG00000145850,-1.911,-2.635,0.72,4202,0.213,0.002,0.27731092413671354,868
FCGR3B,ENSG00000162747,-0.134,-0.554,0.42,6842,0.477,0.002,0.27731092413671354,869
CD274,ENSG00000120217,0.783,0.497,0.29,7771,0.681,0.002,0.27731092413671354,870
IL31RA,ENSG00000164509,-4.293,-5.012,0.72,1816,0.093,0.002,0.27731092413671354,871
LILRA2,ENSG00000239998,0.346,0.001,0.34,7196,0.58,0.002,0.27731092413671354,872
BMPR2,ENSG00000204217,3.293,3.081,0.21,7796,0.993,0.002,0.27731092413671354,873
SLC12A9,ENSG00000146828,4.155,3.953,0.2,7835,1.0,0.002,0.27731092413671354,874
LRFN3,ENSG00000126243,3.197,3.014,0.18,7747,0.991,0.002,0.27731092413671354,875
CLEC17A,ENSG00000187912,-3.458,-4.608,1.15,2143,0.085,0.002,0.27731092413671354,876
KIAA0319,ENSG00000137261,-2.826,-3.626,0.8,3483,0.154,0.002,0.27731092413671354,877
SEMA4G,ENSG00000095539,2.6,2.362,0.24,7728,0.913,0.002,0.27731092413671354,878
DAGLB,ENSG00000164535,3.462,3.281,0.18,7835,1.0,0.002,0.27731092413671354,879
TGOLN2,ENSG00000152291,5.608,5.42,0.19,7835,1.0,0.002,0.27731092413671354,880
FRAS1,ENSG00000138759,-0.088,-0.357,0.27,6777,0.488,0.002,0.27731092413671354,881
SLC15A2,ENSG00000163406,0.857,0.576,0.28,7719,0.64,0.002,0.27731092413671354,882
NMUR2,ENSG00000132911,-5.012,-6.506,1.49,1437,0.056,0.002,0.27731092413671354,883
ABCB9,ENSG00000150967,1.779,1.561,0.22,7744,0.946,0.002,0.27731092413671354,884
OR51E1,ENSG00000180785,-1.639,-2.388,0.75,4515,0.196,0.002,0.27731092413671354,885
EFNA5,ENSG00000184349,1.67,1.522,0.15,7350,0.734,0.001,0.2689075627992374,886
IL10RA,ENSG00000110324,2.47,2.356,0.11,7651,0.933,0.001,0.2689075627992374,887
GPA33,ENSG00000143167,-3.458,-4.035,0.58,2414,0.119,0.001,0.2689075627992374,888
FAM171B,ENSG00000144369,0.368,0.288,0.08,7183,0.58,0.001,0.2689075627992374,889
TREML2,ENSG00000112195,-3.816,-4.608,0.79,1786,0.052,0.001,0.2689075627992374,890
PRRT3,ENSG00000163704,0.766,0.652,0.11,7763,0.662,0.001,0.2689075627992374,891
NPFFR2,ENSG00000056291,-4.608,-5.012,0.4,1944,0.101,0.001,0.2689075627992374,892
ACE2,ENSG00000130234,-0.969,-1.248,0.28,5623,0.386,0.001,0.2689075627992374,893
SERINC3,ENSG00000132824,5.717,5.651,0.07,7835,1.0,0.001,0.2689075627992374,894
PCDHB16,ENSG00000272674,0.252,0.044,0.21,7083,0.546,0.001,0.2689075627992374,895
TLR6,ENSG00000174130,-0.783,-1.056,0.27,6914,0.309,0.001,0.2689075627992374,896
SLC22A2,ENSG00000112499,-5.012,-5.574,0.56,1774,0.093,0.001,0.2689075627992374,897
FZD8,ENSG00000177283,1.486,1.428,0.06,7391,0.812,0.001,0.2689075627992374,898
ABCG5,ENSG00000138075,-4.608,-5.012,0.4,982,0.061,0.001,0.2689075627992374,899
SLC4A8,ENSG00000050438,-0.735,-0.969,0.23,6756,0.375,0.001,0.2689075627992374,900
FAM174A,ENSG00000174132,4.086,4.015,0.07,7859,0.999,0.001,0.2689075627992374,901
OPRD1,ENSG00000116329,-4.608,-5.012,0.4,1345,0.048,0.001,0.2689075627992374,902
SLC44A2,ENSG00000129353,6.347,6.249,0.1,7835,1.0,0.001,0.2689075627992374,903
CD226,ENSG00000150637,-1.181,-1.552,0.37,6481,0.245,0.001,0.2689075627992374,904
CNNM2,ENSG00000148842,1.67,1.537,0.13,7816,0.969,0.001,0.2689075627992374,905
MCHR1,ENSG00000128285,-2.388,-2.635,0.25,4477,0.197,0.001,0.2689075627992374,906
SLC6A20,ENSG00000163817,-2.548,-2.932,0.38,3910,0.239,0.001,0.2689075627992374,907
CD55,ENSG00000196352,5.148,5.029,0.12,7835,0.998,0.001,0.2689075627992374,908
FFAR2,ENSG00000126262,-1.51,-1.884,0.37,4981,0.274,0.001,0.2689075627992374,909
PTPRA,ENSG00000132670,5.225,5.135,0.09,7835,1.0,0.001,0.2689075627992374,910
VSTM1,ENSG00000189068,-3.816,-5.012,1.2,2448,0.034,0.001,0.2689075627992374,911
LRFN4,ENSG00000173621,3.237,3.108,0.13,7822,0.944,0.001,0.2689075627992374,912
LPAR6,ENSG00000139679,3.892,3.824,0.07,7785,0.997,0.001,0.2689075627992374,913
TPRA1,ENSG00000163870,4.756,4.674,0.08,7842,1.0,0.001,0.2689075627992374,914
SLC41A3,ENSG00000114544,4.933,4.805,0.13,7835,1.0,0.001,0.2689075627992374,915
LY6H,ENSG00000176956,-0.997,-1.214,0.22,5648,0.351,0.001,0.2689075627992374,916
CHRNB2,ENSG00000160716,-4.035,-4.293,0.26,2438,0.119,0.001,0.2689075627992374,917
CDH17,ENSG00000079112,-3.626,-4.035,0.41,2279,0.167,0.001,0.2689075627992374,918
GALR3,ENSG00000128310,-5.574,-9.966,4.39,891,0.005,0.001,0.2689075627992374,919
UMODL1,ENSG00000177398,-4.035,-4.608,0.57,1801,0.091,0.001,0.2689075627992374,920
RYK,ENSG00000163785,4.796,4.737,0.06,7829,1.0,0.001,0.2689075627992374,921
GRIN1,ENSG00000176884,-1.938,-2.114,0.18,4850,0.237,0.001,0.2689075627992374,922
FAM171A1,ENSG00000148468,3.006,2.939,0.07,7615,0.926,0.001,0.2689075627992374,923
CSMD2,ENSG00000121904,-1.732,-2.114,0.38,5338,0.201,0.001,0.2689075627992374,924
RNF130,ENSG00000113269,5.697,5.649,0.05,7835,1.0,0.001,0.2689075627992374,925
NRP1,ENSG00000099250,4.265,4.153,0.11,7596,0.997,0.001,0.2689075627992374,926
HEG1,ENSG00000173706,3.334,3.225,0.11,7730,0.972,0.001,0.2689075627992374,927
RXFP1,ENSG00000171509,-3.047,-3.816,0.77,3132,0.088,0.001,0.2689075627992374,928
IGDCC3,ENSG00000174498,-4.293,-4.608,0.31,2610,0.167,0.001,0.2689075627992374,929
GRAMD1B,ENSG00000023171,0.288,0.203,0.09,7670,0.56,0.001,0.2689075627992374,930
HTR3A,ENSG00000166736,-3.816,-4.293,0.48,2720,0.152,0.001,0.2689075627992374,931
CRLF2,ENSG00000205755,-4.035,-4.608,0.57,2252,0.047,0.001,0.2689075627992374,932
CHRNB1,ENSG00000170175,2.905,2.795,0.11,7832,0.993,0.001,0.2689075627992374,933
CYSLTR2,ENSG00000152207,-1.283,-1.47,0.19,5803,0.245,0.001,0.2689075627992374,934
PCDHGB1,ENSG00000254221,-1.392,-1.595,0.2,5978,0.296,0.001,0.2689075627992374,935
NPTN,ENSG00000156642,6.289,6.223,0.07,7835,1.0,0.001,0.2689075627992374,936
FCRL6,ENSG00000181036,-1.43,-1.639,0.21,5982,0.222,0.001,0.2689075627992374,937
GPR31,ENSG00000120436,-5.574,-9.966,4.39,91,0.001,0.001,0.2689075627992374,938
CD200R1,ENSG00000163606,-1.355,-1.595,0.24,5935,0.205,0.001,0.2689075627992374,939
SLC12A3,ENSG00000070915,-4.035,-5.574,1.54,1122,0.031,0.001,0.2689075627992374,940
SLC7A4,ENSG00000099960,-1.086,-1.214,0.13,5600,0.377,0.001,0.2689075627992374,941
HEPACAM2,ENSG00000188175,-4.035,-4.293,0.26,2021,0.169,0.001,0.2689075627992374,942
KCNA3,ENSG00000177272,-2.178,-2.635,0.46,4299,0.158,0.001,0.2689075627992374,943
CLCA2,ENSG00000137975,-3.458,-3.626,0.17,3107,0.258,0.001,0.2689075627992374,944
RXFP4,ENSG00000173080,-5.012,-5.574,0.56,987,0.046,0.001,0.2689075627992374,945
PCDHA4,ENSG00000204967,-2.466,-2.826,0.36,4017,0.24,0.001,0.2689075627992374,946
ADIPOR2,ENSG00000006831,4.792,4.736,0.06,7835,1.0,0.001,0.2689075627992374,947
IL23R,ENSG00000162594,-5.574,-9.966,4.39,653,0.004,0.001,0.2689075627992374,948
LILRA1,ENSG00000104974,-1.392,-1.732,0.34,5700,0.189,0.001,0.2689075627992374,949
ALPL,ENSG00000162551,2.755,2.649,0.11,7774,0.957,0.001,0.2689075627992374,950
NPFFR1,ENSG00000148734,-4.293,-5.012,0.72,2148,0.043,0.001,0.2689075627992374,951
ITGAD,ENSG00000156886,-3.816,-4.608,0.79,1941,0.046,0.001,0.2689075627992374,952
CDH8,ENSG00000150394,-2.114,-2.315,0.2,4774,0.222,0.001,0.2689075627992374,953
PLXNA1,ENSG00000114554,3.504,3.426,0.08,7760,0.989,0.001,0.2689075627992374,954
RET,ENSG00000165731,-0.913,-1.086,0.17,6438,0.378,0.001,0.2689075627992374,955
TMEM140,ENSG00000146859,3.808,3.68,0.13,7835,0.999,0.001,0.2689075627992374,956
TMEM116,ENSG00000198270,2.941,2.824,0.12,7833,0.997,0.001,0.2689075627992374,957
TMEM178B,ENSG00000261115,-1.181,-1.47,0.29,5981,0.386,0.001,0.2689075627992374,958
PTPRU,ENSG00000060656,3.373,3.253,0.12,7611,0.959,0.001,0.2689075627992374,959
MYADM,ENSG00000179820,5.512,5.413,0.1,7835,0.999,0.001,0.2689075627992374,960
ELFN1,ENSG00000225968,-0.375,-0.664,0.29,6981,0.406,0.001,0.2689075627992374,961
IL17RE,ENSG00000163701,2.414,2.311,0.1,7639,0.864,0.001,0.2689075627992374,962
LMBRD1,ENSG00000168216,4.945,4.874,0.07,7835,1.0,0.001,0.2689075627992374,963
FCGRT,ENSG00000104870,6.718,6.64,0.08,7835,1.0,0.001,0.2689075627992374,964
SLC39A2,ENSG00000165794,-3.171,-3.458,0.29,3161,0.223,0.001,0.2689075627992374,965
SLC11A2,ENSG00000110911,4.501,4.377,0.12,7834,1.0,0.001,0.2689075627992374,966
PTPRN,ENSG00000054356,-1.392,-1.732,0.34,5758,0.298,0.001,0.2689075627992374,967
