gene	uniprot_id	pdb_file
SLC44A3	Q8N4M1	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N4M1-F1-model_v6.pdb
SLAMF8	Q9P0V8	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P0V8-F1-model_v6.pdb
SERINC5	Q86VE9	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86VE9-F1-model_v6.pdb
SUSD3	Q96L08	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96L08-F1-model_v6.pdb
CEACAM1	P13688	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P13688-F1-model_v6.pdb
CCR5	P51681	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P51681-F1-model_v6.pdb
CHRNA5	P30532	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P30532-F1-model_v6.pdb
HLA-DMA	P28067	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P28067-F1-model_v6.pdb
ICAM3	P32942	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P32942-F1-model_v6.pdb
ADAM12	O43184	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O43184-F1-model_v6.pdb
TTYH3	Q9C0H2	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9C0H2-F1-model_v6.pdb
SLC9A7	Q96T83	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96T83-F1-model_v6.pdb
LAMP5	Q9UJQ1	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9UJQ1-F1-model_v6.pdb
OPN3	Q9H1Y3	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H1Y3-F1-model_v6.pdb
SELL	P14151	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P14151-F1-model_v6.pdb
TGFA	P01135	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P01135-F1-model_v6.pdb
CCR1	P32246	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P32246-F1-model_v6.pdb
LY6E	Q16553	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q16553-F1-model_v6.pdb
HAVCR2	Q8TDQ0	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TDQ0-F1-model_v6.pdb
SSR1	P43307	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P43307-F1-model_v6.pdb
P2RY6	Q15077	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q15077-F1-model_v6.pdb
TMEM182	Q6ZP80	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6ZP80-F1-model_v6.pdb
HM13	Q8TCT9	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TCT9-F1-model_v6.pdb
CD47	Q08722	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q08722-F1-model_v6.pdb
CD14	P08571	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P08571-F1-model_v6.pdb
TMEM171	Q8WVE6	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WVE6-F1-model_v6.pdb
RTN4R	Q9BZR6	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BZR6-F1-model_v6.pdb
SUSD4	Q5VX71	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5VX71-F1-model_v6.pdb
MPZL2	O60487	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60487-F1-model_v6.pdb
LMAN2	Q12907	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q12907-F1-model_v6.pdb
LPAR5	Q9H1C0	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9H1C0-F1-model_v6.pdb
SLC40A1	Q9NP59	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NP59-F1-model_v6.pdb
ADAM10	O14672	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O14672-F1-model_v6.pdb
ICAM1	P05362	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P05362-F1-model_v6.pdb
LYPD3	O95274	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95274-F1-model_v6.pdb
F2R	P25116	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P25116-F1-model_v6.pdb
SIRPG	Q9P1W8	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P1W8-F1-model_v6.pdb
PTGFRN	Q9P2B2	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P2B2-F1-model_v6.pdb
TMEM9	Q9P0T7	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9P0T7-F1-model_v6.pdb
VCAM1	P19320	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P19320-F1-model_v6.pdb
TMEM123	Q8N131	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N131-F1-model_v6.pdb
EBP	Q15125	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q15125-F1-model_v6.pdb
CD7	P09564	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P09564-F1-model_v6.pdb
TNFRSF18	Q9Y5U5	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9Y5U5-F1-model_v6.pdb
SLC7A5	Q01650	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q01650-F1-model_v6.pdb
ALCAM	Q13740	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q13740-F1-model_v6.pdb
RNF128	Q8TEB7	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8TEB7-F1-model_v6.pdb
SLC31A1	O15431	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O15431-F1-model_v6.pdb
TRPV4	Q9HBA0	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HBA0-F1-model_v6.pdb
FLRT3	Q9NZU0	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NZU0-F1-model_v6.pdb
SLC52A2	Q9HAB3	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9HAB3-F1-model_v6.pdb
SLC1A5	Q15758	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q15758-F1-model_v6.pdb
TNFRSF4	P43489	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P43489-F1-model_v6.pdb
SLC39A6	Q13433	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q13433-F1-model_v6.pdb
FZD2	Q14332	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14332-F1-model_v6.pdb
TMEM106B	Q9NUM4	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NUM4-F1-model_v6.pdb
SLC15A3	Q8IY34	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8IY34-F1-model_v6.pdb
CD83	Q01151	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q01151-F1-model_v6.pdb
SPN	P16150	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P16150-F1-model_v6.pdb
TSPAN33	Q86UF1	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q86UF1-F1-model_v6.pdb
MPEG1	Q2M385	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q2M385-F1-model_v6.pdb
LY75	O60449	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60449-F1-model_v6.pdb
CADM1	Q9BY67	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9BY67-F1-model_v6.pdb
ITGAL	P20701	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P20701-F1-model_v6.pdb
FCGR2A	P12318	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P12318-F1-model_v6.pdb
IL27RA	Q6UWB1	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UWB1-F1-model_v6.pdb
TMEM37	Q8WXS4	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8WXS4-F1-model_v6.pdb
TNFSF15	O95150	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95150-F1-model_v6.pdb
CSF2RA	P15509	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P15509-F1-model_v6.pdb
UNC5B	Q8IZJ1	c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8IZJ1-F1-model_v6.pdb
