gene,uniprot_id,pdb_file
BSG,P35613,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P35613-F1-model_v6.pdb
IL1RAP,Q9NPH3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NPH3-F1-model_v6.pdb
MUC15,Q8N387,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N387-F1-model_v6.pdb
SLCO1B3,Q9NPD5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NPD5-F1-model_v6.pdb
GPC4,O75487,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O75487-F1-model_v6.pdb
SLC2A10,O95528,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O95528-F1-model_v6.pdb
EPHA10,Q5JZY3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q5JZY3-F1-model_v6.pdb
CD70,P32970,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P32970-F1-model_v6.pdb
TSPAN17,Q96FV3,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96FV3-F1-model_v6.pdb
LILRB2,Q8N423,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8N423-F1-model_v6.pdb
CNNM4,Q6P4Q7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6P4Q7-F1-model_v6.pdb
DAG1,Q14118,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q14118-F1-model_v6.pdb
ADAM9,Q13443,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q13443-F1-model_v6.pdb
CD63,P08962,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P08962-F1-model_v6.pdb
ITGAV,P06756,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P06756-F1-model_v6.pdb
TLR7,Q9NYK1,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NYK1-F1-model_v6.pdb
GPR137B,O60478,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60478-F1-model_v6.pdb
TSPAN3,O60637,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O60637-F1-model_v6.pdb
CLN3,Q13286,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q13286-F1-model_v6.pdb
CD164,Q04900,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q04900-F1-model_v6.pdb
CEACAM5,P06731,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P06731-F1-model_v6.pdb
PANX1,Q96RD7,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q96RD7-F1-model_v6.pdb
FAM171A2,A8MVW0,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-A8MVW0-F1-model_v6.pdb
CLDN8,P56748,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-P56748-F1-model_v6.pdb
LRP5,O75197,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-O75197-F1-model_v6.pdb
MFSD6L,Q8IWD5,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q8IWD5-F1-model_v6.pdb
TMEM150B,A6NC51,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-A6NC51-F1-model_v6.pdb
SEMA4B,Q9NPR2,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q9NPR2-F1-model_v6.pdb
ATRAID,Q6UW56,c:\Users\Longer\Documents\自写生信论文\data\structures\AF-Q6UW56-F1-model_v6.pdb
